time,open,high,low,close,volume,spread,real_volume
2018-06-23,6046.61,6253.55,6029.23,6164.57,82605,661,0
2018-06-24,6164.58,6248.0,5768.17,6147.97,83330,635,0
2018-06-25,6148.12,6336.68,6071.32,6244.83,81928,526,0
2018-06-26,6244.81,6269.81,6033.63,6070.68,82917,418,0
2018-06-27,6070.77,6174.81,5982.14,6132.05,81850,404,0
2018-06-28,6132.07,6158.58,5818.5,5844.31,81851,411,0
2018-06-29,5844.36,6291.17,5782.95,6199.01,83153,196,0
2018-06-30,6199.06,6502.32,6184.59,6383.65,82326,288,0
2018-07-01,6383.64,6426.83,6253.61,6344.55,82396,809,0
2018-07-02,6343.09,6668.38,6269.21,6610.31,83080,432,0
2018-07-03,6610.43,6668.15,6459.16,6499.81,83195,406,0
2018-07-04,6499.95,6782.29,6407.15,6580.6,83638,601,0
2018-07-05,6580.49,6685.23,6435.17,6525.83,83983,920,0
2018-07-06,6525.97,6632.41,6443.95,6595.64,83476,1142,0
2018-07-07,6595.65,6813.0,6504.3,6748.44,82713,1150,0
2018-07-08,6748.56,6774.26,6662.1,6699.11,82145,974,0
2018-07-09,6699.05,6800.81,6613.14,6662.38,82276,1420,0
2018-07-10,6662.4,6675.77,6262.56,6300.59,83071,3204,0
2018-07-11,6300.53,6394.0,6276.21,6379.16,82792,2047,0
2018-07-12,6378.99,6379.14,6062.84,6243.47,82839,1172,0
2018-07-13,6242.3,6332.54,6118.87,6211.94,82506,517,0
2018-07-14,6211.83,6318.44,6178.37,6243.34,76912,644,0
2018-07-15,6243.32,6384.99,6226.7,6345.11,76349,1497,0
2018-07-16,6345.16,6741.08,6325.81,6719.47,78996,457,0
2018-07-17,6719.6,7457.03,6657.39,7306.43,80669,796,0
2018-07-18,7306.6,7573.62,7234.74,7371.87,80222,1085,0
2018-07-19,7372.0,7550.53,7272.95,7461.24,80442,1008,0
2018-07-20,7461.22,7673.49,7267.18,7328.77,80484,966,0
2018-07-21,7328.77,7444.65,7205.41,7396.46,78465,528,0
2018-07-22,7396.55,7566.58,7321.25,7389.24,78169,502,0
2018-07-23,7389.54,7795.82,7368.37,7713.04,80510,572,0
2018-07-24,7713.14,8473.01,7685.35,8386.74,81499,517,0
2018-07-25,8383.95,8475.15,8047.87,8160.44,81142,771,0
2018-07-26,8160.34,8293.93,7847.52,7928.01,78891,707,0
2018-07-27,7928.04,8268.68,7788.29,8183.18,79601,851,0
2018-07-28,8182.84,8231.16,8058.16,8221.46,77349,629,0
2018-07-29,8221.18,8283.84,8114.26,8207.63,77882,666,0
2018-07-30,8207.66,8268.48,7848.0,8165.14,80448,1605,0
2018-07-31,8164.77,8166.84,7637.55,7721.14,79017,1192,0
2018-08-01,7721.76,7752.51,7436.82,7601.97,79924,2179,0
2018-08-02,7601.14,7703.08,7452.61,7528.24,79286,3108,0
2018-08-03,7528.26,7533.3,7275.13,7414.19,80383,1179,0
2018-08-04,7414.2,7486.56,6926.37,7004.81,79941,442,0
2018-08-05,7004.89,7083.29,6880.49,7019.32,80221,442,0
2018-08-06,7019.31,7145.02,6834.75,6930.33,80740,199,0
2018-08-07,6929.92,7147.33,6667.94,6715.14,81460,440,0
2018-08-08,6715.18,6716.58,6122.93,6277.88,82514,440,0
2018-08-09,6278.14,6616.53,6179.05,6537.92,81770,436,0
2018-08-10,6537.74,6574.66,6005.98,6135.79,76582,145,0
